"","convergence","mu","x_C","C","A","p","tau ctr","tau enz","tau r","v ctr","v enz","v r","p ctr","p enz","p r","q ctr","q enz","q r"
"1",4,1.3251706229185,10,58.5737943085859,57.190937340542,224.235269303299,0.144285714285714,0.198952438108191,0.286149466758654,450.558013054419,372.93774156381,297.149991502951,65.0090847407091,74.1968729466825,85.029311615908,1.00000000280126,0.827724137187769,0.659515497950881
"2",4,1.28843837948595,0.91,56.8774487361972,56.3415179714986,226.781033322674,0.158555729984301,0.200625456287545,0.287950820508423,438.069049064351,364.78596118539,292.193387072414,69.4583578579269,73.1853499101097,84.137325554637,1.00000000008932,0.83271338615933,0.667003039184334
"3",4,1.19171977498173,0.244878048780487,52.6409763048876,54.0376622876187,233.321361485016,0.201195219123506,0.205274569667086,0.29312168052279,405.184723586171,342.451431149292,278.053680407353,81.5212292474169,70.2965701610487,81.5035620765499,1.00000000022801,0.845173599331277,0.68623929848534
"4",4,1.06386068157,0.110879120879121,47.4560660993802,50.8435838220014,241.700350435329,0.271697578932465,0.212094114139876,0.301065794730813,361.712632113292,311.225989288174,257.135499549838,98.2764464144708,66.0092004953819,77.4147035254766,1.00000000104915,0.860423336050973,0.710883383633322
"5",4,0.930506845874638,0.0631055900621114,42.4221052978573,47.3227287487595,250.255167167625,0.36923509561305,0.220310024147319,0.311065214975495,316.372328727237,276.898269331166,232.864146264977,116.815767046925,61.0034644026999,72.4359357180001,1.0000000035713,0.875229105636424,0.736044609316543
"6",4,0.806664683058147,0.040836653386453,37.9830216943695,43.8561947908843,258.160783420948,0.492682926829278,0.229361958407438,0.32247893824919,274.265992164107,243.626430007427,208.249186536302,135.126171749148,55.8786351063161,67.1559765654843,0.999999999724124,0.888285230034802,0.759296421826319
"7",4,0.698406237298744,0.0286980609418279,34.2170916017948,40.6395939300383,265.143314465784,0.640650854936575,0.238882670799498,0.334811391367829,237.458120679909,213.560690482993,185.177744600966,152.127748025216,51.0159481203623,61.999618320206,0.999999999992992,0.899361495281831,0.779833277840542
"8",4,0.606660623438138,0.0213645621181264,31.0624524381165,37.746032511584,271.191516970745,0.8115211766308,0.248634827096988,0.347701145753607,206.264613134025,187.4202463724,164.521214756606,167.388101547821,46.5992005512765,57.2042148716473,1.00000000564837,0.908639851418614,0.797622108737485
"9",4,0.530034680665029,0.0165990639625573,28.4220404591954,35.1831849069145,276.39477627648,1.00349087003229,0.258461590413661,0.360888234481308,180.21179229674,165.147125158101,146.498816981186,180.840888241933,42.6841886206068,52.8696994139405,1.00000000483115,0.916405768186455,0.812925812577883
"10",4,0.466370406637835,0.0133292231812554,26.2021527920578,32.9289091738013,280.86893853451,1.2146160962074,0.268255781350322,0.374184422486226,158.565938490222,146.346029837803,130.988961076277,192.596741200456,39.2581685816573,49.0140287523974,1.00000000147167,0.922934846200917,0.826085113336795
"11",4,0.413468645399206,0.0109890109890092,24.3233890054319,30.950188784951,284.726422209512,1.44285714285736,0.277941702207837,0.387451534274839,140.579339435687,130.522380732093,117.725448100329,202.835904042949,36.2776126768972,45.6129054896655,0.999999999999691,0.92846062057195,0.837430653557388
"12",4,0.369370824250207,0.00925681255160882,22.7216322419251,29.2122488585357,288.066119229049,1.68612208487344,0.287464460268592,0.400586806345904,125.586080366782,117.193372337272,106.403219898192,211.753463659121,33.68892952599,42.6237260439378,1.00000000096915,0.933171670845837,0.847253291850143
"13",4,0.332433808652362,0.00793893129771028,21.3459992266324,27.6825383835896,290.971462766094,1.94230769230761,0.296783611739183,0.413513008524687,113.027495066903,105.931363244503,96.7287515764815,219.534173110707,31.4386925801591,39.9985970752279,1.00000000110681,0.937217650440245,0.855798419900275
"14",4,0.30131839720225,0.00691306918982804,20.1562696876603,26.3321593382936,293.511570948692,2.20933642918259,0.305869165251634,0.426171906838746,102.448255041125,96.374800165263,88.4404361185741,226.342661968547,29.478079677842,37.690829302303,0.999999999925428,0.940716853785251,0.863269326319681
"15",4,0.274947925115664,0.00609892911779575,19.1205663399365,25.1361273402573,295.743306518932,2.48518872431966,0.314699034320971,0.438519734596875,93.4822945940752,88.2251345518732,81.3140084942263,232.321144448724,27.7643646463122,35.6577974238961,1.00000000058566,0.943763040762322,0.869833254467448
"16",4,0.252461431051362,0.00544202576632458,18.213475556068,24.0731225680993,297.713401895343,2.76793002915524,0.323257323789091,0.450524039718411,85.8368865623888,81.2386864590848,75.1611514856677,237.590495925228,26.2610003729049,33.8619055972105,1.00000000005738,0.946430954304243,0.875627652633363
"17",4,0.233170855929982,0.00490433424443637,17.4145925959716,23.1250625747239,299.46034509794,3.05573248407608,0.331533063215702,0.462161362573015,79.2780910788316,75.217515617557,69.8254249835743,242.252638185128,24.9370933601636,32.2706135526485,1.0000000007901,0.948780610801952,0.880765720876293
"18",4,0.216525103571206,0.00445866482186119,16.7073981025873,22.2766325944275,301.015969496393,3.34689127784533,0.339519379881678,0.4734156020979,73.6185352560877,70.0009641515196,65.1775139717935,246.393233536349,23.7666839398435,30.8560520202009,1.00000000056885,0.950860594384767,0.885341086754098
"19",4,0.202081065422648,0.00408515890157268,16.0784184148475,21.5148650312821,302.406718844178,3.63983599482166,0.347212708245348,0.484276529586924,68.7075627065281,65.4584187829445,61.1106719349986,250.084259855687,22.7279948630843,29.5944641254062,1.0000000067362,0.952710540810176,0.889431526012288
"20",4,0.189480732620158,0.0037690390473557,15.5165806640043,20.8287519204257,303.654669128488,3.93313739897094,0.354612191012601,0.494738812296873,64.4234494154187,61.4833563434434,57.5367091699976,253.386278266496,21.8027477037569,28.4656431582352,1.00000000503799,0.954363003085041,0.893101968024965
